Gene_Set_Name	num_Genes_in_Gene_Set_(K)	Description	num_Genes_in_Overlap_(k)	k/K	p-value	FDR_q-value
PID_IL12_2PATHWAY	63	IL12-mediated_signaling_events	32	0.5079	3.13E-43	7.56E-41
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	301	Extracellular_matrix_organization	53	0.1761	9.21E-43	2.13E-40
KEGG_PATHWAYS_IN_CANCER	325	Pathways_in_cancer	54	0.1662	3.65E-42	8.11E-40
REACTOME_GPCR_LIGAND_BINDING	454	GPCR_ligand_binding	60	0.1322	7.88E-41	1.68E-38
PID_IL23_PATHWAY	37	IL23-mediated_signaling_events	26	0.7027	8.84E-41	1.82E-38
PID_IL27_PATHWAY	26	IL27-mediated_signaling_events	23	0.8846	1.4E-40	2.79E-38
WINTER_HYPOXIA_METAGENE	242	Genes_regulated_by_hypoxia,_based_on_literature_searches.	47	0.1942	4.46E-40	8.53E-38
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	321	Class_A/1_(Rhodopsin-like_receptors)	52	0.1620	4.84E-40	8.95E-38
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	468	Signaling_by_Receptor_Tyrosine_Kinases	58	0.1239	6.66E-38	1.19E-35
DEBOSSCHER_NFKB_TARGETS_REPRESSED_BY_GLUCOCORTICOIDS	23	NF-kB-driven_pro-inflammatory_genes_that_are__negatively_regulated_by_glucocorticoids.	21	0.9130	8.32E-38	1.44E-35
SMID_BREAST_CANCER_LUMINAL_B_DN	586	Genes_down-regulated_in_the_luminal_B_subtype_of_breast_cancer.	63	0.1075	2.07E-37	3.39E-35
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	Genes_regulated_by_NF-kB_in_response_to_TNF_[GeneID=7124].	42	0.2100	2.08E-37	3.39E-35
HALLMARK_COAGULATION	138	Genes_encoding_components_of_blood_coagulation_system;_also_up-regulated_in_platelets.	37	0.2681	2.43E-37	3.86E-35
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	188	Peptide_ligand-binding_receptors	41	0.2181	2.94E-37	4.54E-35
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	Genes_up-regulated_in_response_to_IFNG_[GeneID=3458].	41	0.2050	4.36E-36	6.54E-34
KEGG_HEMATOPOIETIC_CELL_LINEAGE	87	Hematopoietic_cell_lineage	31	0.3563	7.15E-36	1.04E-33
REACTOME_DISEASE	1075	Disease	79	0.0735	5.66E-35	8.05E-33
HSIAO_LIVER_SPECIFIC_GENES	248	Liver_selective_genes	43	0.1734	1.52E-34	2.11E-32
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	48	Chemokine_receptors_bind_chemokines	25	0.5208	2.15E-34	2.92E-32
POOLA_INVASIVE_BREAST_CANCER_UP	292	Genes_up-regulated_in_atypical_ductal_hyperplastic_tissues_from_patients_with_(ADHC)_breast_cancer_vs_those_without_the_cancer_(ADH).	45	0.1541	9.02E-34	1.19E-31
KEGG_AUTOIMMUNE_THYROID_DISEASE	52	Autoimmune_thyroid_disease	25	0.4808	3.16E-33	4.08E-31
HINATA_NFKB_TARGETS_KERATINOCYTE_UP	84	Genes_up-regulated_in_primary_keratinocytes_by_expression_of_p50_(NFKB1)_and_p65_(RELA)_[GeneID=4790;5970]_components_of_NFKB.	29	0.3452	3.68E-33	4.64E-31
BIOCARTA_NKT_PATHWAY	26	Selective_expression_of_chemokine_receptors_during_T-cell_polarization	20	0.7692	5.57E-33	6.87E-31
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	Genes_defining_epithelial-mesenchymal_transition,_as_in_wound_healing,_fibrosis_and_metastasis.	38	0.1900	3.32E-32	4E-30
WALLACE_PROSTATE_CANCER_RACE_UP	301	Genes_up-regulated_in_prostate_cancer_samples_from_African-American_patients_compared_to_those_from_the_European-American_patients.	44	0.1462	4.96E-32	5.86E-30
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	140	Degradation_of_the_extracellular_matrix	33	0.2357	2.14E-31	2.47E-29
BIOCARTA_INFLAM_PATHWAY	29	Cytokines_and_Inflammatory_Response	20	0.6897	2.33E-31	2.65E-29
LINDSTEDT_DENDRITIC_CELL_MATURATION_A	61	Maturation_of_monocyte-derived_dendritic_cells_(DC)_in_response_to_inflammatory_stimuli:_genes_up-regulated_only_at_8_hr_after_the_stimulation_(cluster_A).	25	0.4098	5.21E-31	5.78E-29
HALLMARK_COMPLEMENT	200	Genes_encoding_components_of_the_complement_system,_which_is_part_of_the_innate_immune_system.	37	0.1850	6.1E-31	6.63E-29
KEGG_MAPK_SIGNALING_PATHWAY	267	MAPK_signaling_pathway	41	0.1536	8.64E-31	9.23E-29
WONG_ADULT_TISSUE_STEM_MODULE	710	The_'adult_tissue_stem'_module:_genes_coordinately_up-regulated_in_a_compendium_of_adult_tissue_stem_cells.	61	0.0859	9.93E-31	1.04E-28
CHEN_METABOLIC_SYNDROM_NETWORK	1213	Genes_forming_the_macrophage-enriched_metabolic_network_(MEMN)_claimed_to_have_a_causal_relationship_with_the_metabolic_syndrom_traits.	78	0.0643	1.31E-30	1.34E-28
BIOCARTA_CYTOKINE_PATHWAY	19	Cytokine_Network	17	0.8947	1.99E-30	2E-28
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	44	Interleukin-2_family_signaling	22	0.5000	6.97E-30	6.91E-28
QI_PLASMACYTOMA_UP	248	Up-regulated_genes_that_best_disciminate_plasmablastic_plasmacytoma_from_plasmacytic_plasmacytoma_tumors.	39	0.1573	9.61E-30	9.36E-28
VERHAAK_AML_WITH_NPM1_MUTATED_UP	186	Genes_up-regulated_in_acute_myeloid_leukemia_(AML)_patients_with_mutated_NPM1_[GeneID=4869].	35	0.1882	1.35E-29	1.29E-27
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	159	Genes_up-regulated_in_circulating_endothelial_cells_(CEC)_from_cancer_patients_compared_to_those_from_healthy_donors.	33	0.2075	1.92E-29	1.8E-27
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	122	Genes_up-regulated_in_lung_tissue_upon_LPS_aspiration_with_mechanical_ventilation_(MV)_compared_to_control_(PBS_aspiration_without_MV).	30	0.2459	3E-29	2.73E-27
REACTOME_SIGNALING_BY_GPCR	1174	Signaling_by_GPCR	75	0.0639	3E-29	2.73E-27
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	260	Platelet_activation,_signaling_and_aggregation	39	0.1500	6.11E-29	5.47E-27
PID_IL4_2PATHWAY	64	IL4-mediated_signaling_events	24	0.3750	1.1E-28	9.55E-27
REACTOME_COLLAGEN_DEGRADATION	64	Collagen_degradation	24	0.3750	1.1E-28	9.55E-27
REACTOME_OTHER_INTERLEUKIN_SIGNALING	288	Other_interleukin_signaling	40	0.1389	2.5E-28	2.14E-26
KEGG_ALLOGRAFT_REJECTION	37	Allograft_rejection	20	0.5405	3.36E-28	2.82E-26
BIOCARTA_TH1TH2_PATHWAY	23	Th1/Th2_Differentiation	17	0.7391	1.12E-27	9.24E-26
TENEDINI_MEGAKARYOCYTE_MARKERS	61	Genes_essential_to_the_development_of_megakaryocytes,_as_expressed_in_normal_cells_and_essential_thrombocythemic_cells_(ET).	23	0.3770	1.31E-27	1.07E-25
HINATA_NFKB_TARGETS_FIBROBLAST_UP	81	Genes_up-regulated_in_primary_fibroblast_cells_by_expression_of_p50_(NFKB1)_and_p65__(RELA)_[GeneID=4790;5970]_components_of_NFKB.	25	0.3086	2.43E-27	1.95E-25
SMID_BREAST_CANCER_NORMAL_LIKE_UP	482	Genes_up-regulated_in_the_normal-like_subtype_of_breast_cancer.	48	0.0996	3.74E-27	2.97E-25
KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_UP	118	Genes_up-regulated_in_MEWO_cells_(melanoma)_after_96_h_of_methionine_[PubChem=876]_deprivation.	28	0.2373	6.56E-27	5.13E-25
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_DN	131	Angiogenic_markers_down-regulated_in_lymph_endothelial_cells_upon_infection_with_KSHV_(Kaposi's_sarcoma_herpes_virus).	29	0.2214	6.94E-27	5.35E-25
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2PLUS	132	Response_to_elevated_platelet_cytosolic_Ca2+	29	0.2197	8.79E-27	6.68E-25
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	Natural_killer_cell_mediated_cytotoxicity	29	0.2117	2.77E-26	2.08E-24
WORSCHECH_TUMOR_REJECTION_UP	60	Up-regulated_genes_defining_rejection_of_mammary_carcinoma_(MMC)_tumors.	22	0.3667	3.85E-26	2.85E-24
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	153	Toll-like_Receptor_Cascades	30	0.1961	4.26E-26	3.11E-24
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	585	Genes_up-regulated_in_monocyte-derived_dendritic_cells_(MDDC)_after_stimulation_with_galecin-1_(lectin,_LGALS1)_[GeneID=3956]_compared_to_that_with_bacterial_lipopolysaccharide_(LPS).	51	0.0872	4.32E-26	3.11E-24
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	352	Genes_up-regulated_in_invasive_ductal_carcinoma_(IDC)_relative_to_ductal_carcinoma_in_situ_(DCIS,_non-invasive).	41	0.1165	5.76E-26	4.1E-24
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	296	MAPK_family_signaling_cascades	38	0.1284	1.08E-25	7.59E-24
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP	130	Genes_up-regulated_in_MEWO_cells_(melanoma)_after_48h_of_methionine_[PubChem=876]_deprivation.	28	0.2154	1.21E-25	8.37E-24
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	403	G_alpha_(i)_signalling_events	43	0.1067	1.25E-25	8.58E-24
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	427	Genes_up-regulated_in_cultured_stromal_stem_cells_from_adipose_tissue,_compared_to_the_freshly_isolated_cells.	44	0.1030	1.41E-25	9.56E-24
PID_CD8_TCR_DOWNSTREAM_PATHWAY	65	Downstream_signaling_in_na&numxef;ve_CD8+_T_cells	22	0.3385	3.1E-25	2.07E-23
PID_SHP2_PATHWAY	57	SHP2_signaling	21	0.3684	4.6E-25	3.04E-23
KEGG_FOCAL_ADHESION	199	Focal_adhesion	32	0.1608	6.36E-25	4.16E-23
RODWELL_AGING_KIDNEY_UP	500	Genes_whose_expression_increases_with_age_in_normal_kidney.	46	0.0920	1.34E-24	8.66E-23
PID_AP1_PATHWAY	70	AP-1_transcription_factor_network	22	0.3143	2.06E-24	1.31E-22
HARRIS_HYPOXIA	81	Genes_known_to_be_induced_by_hypoxia	23	0.2840	2.61E-24	1.64E-22
ZHOU_INFLAMMATORY_RESPONSE_FIMA_UP	509	Genes_up-regulated_in_macrophages_by_P.gingivalis_FimA_pathogen.	46	0.0904	2.84E-24	1.77E-22
HELLER_SILENCED_BY_METHYLATION_UP	284	Genes_up-regulated_in_at_least_one_of_three_multiple_myeloma_(MM)_cell_lines_treated_with_the_DNA_hypomethylating_agent_decitabine_(5-aza-2'-deoxycytidine)_[PubChem=451668].	36	0.1268	3.3E-24	2.04E-22
PID_NFAT_TFPATHWAY	45	Calcineurin-regulated_NFAT-dependent_transcription_in_lymphocytes	19	0.4222	3.55E-24	2.17E-22
DELYS_THYROID_CANCER_UP	445	Genes_up-regulated_in_papillary_thyroid_carcinoma_(PTC)_compared_to_normal_tissue.	43	0.0966	6.68E-24	4.03E-22
VERHAAK_GLIOBLASTOMA_MESENCHYMAL	216	Genes_correlated_with_mesenchymal_type_of_glioblastoma_multiforme_tumors.	32	0.1481	8.85E-24	5.28E-22
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	85	Integrin_cell_surface_interactions	23	0.2706	9E-24	5.32E-22
BIOCARTA_EICOSANOID_PATHWAY	22	Eicosanoid_Metabolism	15	0.6818	1.09E-23	6.39E-22
PID_IL12_STAT4_PATHWAY	33	IL12_signaling_mediated_by_STAT4	17	0.5152	1.14E-23	6.59E-22
THUM_SYSTOLIC_HEART_FAILURE_UP	429	Genes_up-regulated_in_samples_with_systolic_heart_failure_compared_to_normal_hearts.	42	0.0979	1.37E-23	7.82E-22
NABA_ECM_REGULATORS	238	Genes_encoding_enzymes_and_their_regulators_involved_in_the_remodeling_of_the_extracellular_matrix	33	0.1387	1.52E-23	8.6E-22
LIU_VAV3_PROSTATE_CARCINOGENESIS_UP	89	Selected_genes_up-regulated_in_prostate_tumors_developed_by_transgenic_mice_overexpressing_VAV3_[GeneID=10451]_in_prostate_epithelium.	23	0.2584	2.9E-23	1.63E-21
KIM_GLIS2_TARGETS_UP	79	Partial_list_of_genes_up-regulated_in_the_kidney_of_GLIS2_[GeneID=84662]_knockout_mice_compared_to_the_wild_type.	22	0.2785	4.22E-23	2.34E-21
