ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	12/148	111/11763	1.36243386385893e-08	1.10504819534547e-06	7.51107628928438e-07	IL1B/MMP9/NOS2/PTGS2/TP53/VEGFA/IL18/IL6/IL10/PIK3R1/CCL2/TNF	12
BIOCARTA_PPARA_PATHWAY	BIOCARTA_PPARA_PATHWAY	9/148	52/11763	1.43668237748057e-08	1.10504819534547e-06	7.51107628928438e-07	FABP1/LPL/NOS2/PTGS2/RXRA/PIK3R1/PPARA/PPARGC1A/TNF	9
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	9/148	53/11763	1.7121591051401e-08	1.21563296464947e-06	8.26272734140487e-07	ESR1/NR3C1/PPARD/RXRA/RXRG/PPARA/VDR/HNF4A/PPARG	9
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	8/148	41/11763	3.4932820396127e-08	2.30307094468751e-06	1.56541059820238e-06	HLA-DRB5/HLA-G/HLA-DQA1/IL1B/IL6/HLA-DRB1/HLA-DQB1/TNF	8
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	8/148	43/11763	5.19014308742817e-08	3.19366804646413e-06	2.17075458253136e-06	HLA-DRB5/HLA-G/HLA-DQA1/IL1B/HLA-DRB1/HLA-DQB1/TNF/INS	8
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	7/148	30/11763	6.91670638193134e-08	3.83251847439925e-06	2.60498490134225e-06	NR3C1/CAT/SREBF1/PCK1/PPARGC1A/GCK/INS	7
REACTOME_SIGNAL_ATTENUATION	REACTOME_SIGNAL_ATTENUATION	5/148	10/11763	7.05880975783176e-08	3.83251847439925e-06	2.60498490134225e-06	SOS1/IRS2/INSR/IRS1/INS	5
REACTOME_SIGNALING_BY_LEPTIN	REACTOME_SIGNALING_BY_LEPTIN	5/148	11/11763	1.28101384327093e-07	6.56875431855036e-06	4.4648201788858e-06	SH2B1/IRS2/LEPR/LEP/IRS1	5
REACTOME_PEPTIDE_HORMONE_METABOLISM	REACTOME_PEPTIDE_HORMONE_METABOLISM	10/148	90/11763	1.7740335440571e-07	8.61806821665633e-06	5.85775064962898e-06	DPP4/GIP/IGF1/GHRL/PCSK1/ACE/LEP/SLC30A8/TCF7L2/INS	10
REACTOME_CIRCADIAN_CLOCK	REACTOME_CIRCADIAN_CLOCK	9/148	70/11763	2.09542600270558e-07	9.67039100248625e-06	6.57302051375013e-06	NAMPT/NR3C1/ARNTL/SERPINE1/RXRA/SREBF1/CRY2/PPARA/PPARGC1A	9
PID_PTP1B_PATHWAY	PID_PTP1B_PATHWAY	8/148	52/11763	2.44803106462008e-07	1.07596793935445e-05	7.31341611284997e-06	CRK/PRLR/INSR/PIK3R1/LEPR/LEP/IRS1/INS	8
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	9/148	72/11763	2.68447062774716e-07	1.1262574497321e-05	7.65523681405409e-06	HLA-DRB5/HLA-DQA1/IL1B/NOS2/PTGS2/IL10/HLA-DRB1/HLA-DQB1/TNF	9
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	7/148	37/11763	3.2495204845937e-07	1.24971141969999e-05	8.49436056499054e-06	HLA-DRB5/HLA-G/HLA-DQA1/IL10/HLA-DRB1/HLA-DQB1/TNF	7
PID_IL23_PATHWAY	PID_IL23_PATHWAY	7/148	37/11763	3.2495204845937e-07	1.24971141969999e-05	8.49436056499054e-06	IL1B/NOS2/IL18/IL6/PIK3R1/CCL2/TNF	7
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	7/148	42/11763	8.07888597123333e-07	2.98272470057935e-05	2.02737517425476e-05	SLC2A2/PAX4/HNF1B/HNF1A/HNF4A/GCK/INS	7
BIOCARTA_GH_PATHWAY	BIOCARTA_GH_PATHWAY	6/148	27/11763	8.53063596749948e-07	3.02837576846232e-05	2.05840446827113e-05	SOS1/SLC2A4/INSR/PIK3R1/HNF1A/IRS1	6
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	10/148	108/11763	9.90232692434029e-07	3.38512879672818e-05	2.30089155824827e-05	PLCB1/KCNB1/ABCC8/STK11/SLC2A2/ADRA2A/ADCY5/KCNJ11/ADIPOQ/INS	10
PID_INSULIN_PATHWAY	PID_INSULIN_PATHWAY	7/148	44/11763	1.12366577264802e-06	3.70408395769331e-05	2.51768721991813e-05	CRK/SOS1/INSR/GRB14/PIK3R1/IRS1/INS	7
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	7/148	46/11763	1.53684483572003e-06	4.78448191126156e-05	3.25203993740308e-05	IL1B/PTGS2/IL18/IL6/IL10/CCL2/TNF	7
REACTOME_FOXO_MEDIATED_TRANSCRIPTION	REACTOME_FOXO_MEDIATED_TRANSCRIPTION	8/148	66/11763	1.61053932830949e-06	4.78448191126156e-05	3.25203993740308e-05	NR3C1/CAT/STK11/SREBF1/PCK1/PPARGC1A/GCK/INS	8
KEGG_ASTHMA	KEGG_ASTHMA	6/148	30/11763	1.65875862578949e-06	4.78448191126156e-05	3.25203993740308e-05	HLA-DRB5/HLA-DQA1/IL10/HLA-DRB1/HLA-DQB1/TNF	6
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	6/148	30/11763	1.65875862578949e-06	4.78448191126156e-05	3.25203993740308e-05	ESR1/NR3C1/RXRA/PPARA/VDR/PPARG	6
BIOCARTA_CYTOKINE_PATHWAY	BIOCARTA_CYTOKINE_PATHWAY	5/148	19/11763	2.97235149062764e-06	8.0690600760274e-05	5.48458665143677e-05	IL16/IL18/IL6/IL10/TNF	5
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	5/148	19/11763	2.97235149062764e-06	8.0690600760274e-05	5.48458665143677e-05	IGF1/GHRL/PCSK1/LEP/INS	5
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	7/148	51/11763	3.15410831865363e-06	8.31783422319228e-05	5.65367987343628e-05	PTEN/SOS1/IRS2/SLC2A4/PIK3R1/CDKN2A/IRS1	7
BIOCARTA_NUCLEARRS_PATHWAY	BIOCARTA_NUCLEARRS_PATHWAY	6/148	34/11763	3.60449263088586e-06	9.24151860641013e-05	6.28151347370752e-05	PPARD/CYP27B1/CYP24A1/PPARA/VDR/PPARG	6
BIOCARTA_INSULIN_PATHWAY	BIOCARTA_INSULIN_PATHWAY	5/148	21/11763	5.09705306910961e-06	0.000123804736389162	8.41507930523359e-05	SOS1/SLC2A4/INSR/PIK3R1/IRS1	5
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	5/148	21/11763	5.09705306910961e-06	0.000123804736389162	8.41507930523359e-05	SLC2A2/HNF1A/HNF4A/GCK/INS	5
REACTOME_REGULATION_OF_INSULIN_SECRETION	REACTOME_REGULATION_OF_INSULIN_SECRETION	8/148	78/11763	5.78952209851887e-06	0.000137018689664947	9.31323932717205e-05	PLCB1/KCNB1/ABCC8/SLC2A2/ADRA2A/ADCY5/KCNJ11/INS	8
REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM	REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM	4/148	11/11763	7.41420178564838e-06	0.000171082706203836	0.000116285901690696	CYP27B1/CYP24A1/CYP2R1/VDR	4
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	5/148	23/11763	8.2591106722257e-06	0.000185930710986935	0.000126378176139834	DPP4/GIP/PCSK1/LEP/TCF7L2	5
PID_ER_NONGENOMIC_PATHWAY	PID_ER_NONGENOMIC_PATHWAY	6/148	40/11763	9.6673999734879e-06	0.000212452623226889	0.000144405272786937	ESR1/PLCB1/MMP9/SOS1/NOS3/PIK3R1	6
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER	8/148	84/11763	1.01018113969893e-05	0.000216836556265607	0.000147385057346527	NOS2/PTEN/PTGS2/RXRA/RXRG/TP53/PIK3R1/CDKN2B	8
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	6/148	42/11763	1.29413938845326e-05	0.000271475148986899	0.000184523223808168	IGF1/IRS2/INSR/PIK3R1/IRS1/INS	6
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER	8/148	89/11763	1.55215180028617e-05	0.000316061278469709	0.000214828673054624	IGF1/PTEN/SOS1/TP53/GSTP1/PIK3R1/TCF7L2/INS	8
BIOCARTA_IL5_PATHWAY	BIOCARTA_IL5_PATHWAY	4/148	13/11763	1.5751699685381e-05	0.000316061278469709	0.000214828673054624	HLA-DRB5/IL1B/IL6/HLA-DRB1	4
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_ALPHA_PPARALPHA	REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_ALPHA_PPARALPHA	9/148	119/11763	1.84824288204248e-05	0.000362963442579832	0.000246708344389097	APOA5/FABP1/ARNTL/RXRA/SREBF1/PPARA/FADS1/PPARGC1A/PPARG	9
REACTOME_BMAL1:CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION	REACTOME_BMAL1:CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION	5/148	27/11763	1.902736079933e-05	0.000365880292037116	0.000248690943780716	NAMPT/ARNTL/SERPINE1/RXRA/PPARA	5
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	7/148	67/11763	2.00301548128857e-05	0.000377302712087623	0.000256454828538773	IGF1/PTEN/SOS1/IRS2/SLC2A4/CDKN2A/IRS1	7
BIOCARTA_INFLAM_PATHWAY	BIOCARTA_INFLAM_PATHWAY	5/148	29/11763	2.74279275695606e-05	0.000486845714359701	0.000330911838693484	HLA-DRB5/IL6/IL10/HLA-DRB1/TNF	5
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER	5/148	29/11763	2.74279275695606e-05	0.000486845714359701	0.000330911838693484	RXRA/RXRG/TP53/PPARG/TCF7L2	5
PID_IGF1_PATHWAY	PID_IGF1_PATHWAY	5/148	29/11763	2.74279275695606e-05	0.000486845714359701	0.000330911838693484	CRK/SOS1/IRS2/PIK3R1/IRS1	5
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	6/148	48/11763	2.84519849357621e-05	0.000495494001805818	0.000336790129527591	HLA-DRB5/HLA-DQA1/IL6/IL10/HLA-DRB1/HLA-DQB1	6
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	6/148	52/11763	4.52902782396e-05	0.000774128274354645	0.000526179450892819	HLA-DRB5/HLA-G/HLA-DQA1/IL10/HLA-DRB1/HLA-DQB1	6
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER	6/148	54/11763	5.62810530023153e-05	0.000911358103879597	0.000619455357144597	RXRA/RXRG/SOS1/TP53/PIK3R1/CDKN2A	6
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	6/148	54/11763	5.62810530023153e-05	0.000911358103879597	0.000619455357144597	SOS1/IRS2/INSR/PIK3R1/IRS1/INS	6
REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R	REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R	6/148	54/11763	5.62810530023153e-05	0.000911358103879597	0.000619455357144597	IGF1/SOS1/IRS2/IGF2/PIK3R1/IRS1	6
PID_SMAD2_3NUCLEAR_PATHWAY	PID_SMAD2_3NUCLEAR_PATHWAY	7/148	82/11763	7.48317091949721e-05	0.00119085633770619	0.000809431917971023	ESR1/NR3C1/SERPINE1/IL10/VDR/HNF4A/CDKN2B	7
PID_SHP2_PATHWAY	PID_SHP2_PATHWAY	6/148	57/11763	7.66650284508314e-05	0.00119935290271385	0.000815207082189037	SOS1/VEGFA/NOS3/IL6/PIK3R1/IRS1	6
PID_FRA_PATHWAY	PID_FRA_PATHWAY	5/148	37/11763	9.28447181400153e-05	0.00141092630493732	0.000959014743391278	MMP9/NOS3/IL6/CCL2/CDKN2A	5
PID_ATF2_PATHWAY	PID_ATF2_PATHWAY	6/148	59/11763	9.32464838582627e-05	0.00141092630493732	0.000959014743391278	ESR1/NOS2/MAPK9/IL6/PPARGC1A/INS	6
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY	PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY	5/148	38/11763	0.000105836555723579	0.00157559904730424	0.00107094375570888	ESR1/NOS2/PTGS2/TP53/PPARGC1A	5
PID_RET_PATHWAY	PID_RET_PATHWAY	5/148	39/11763	0.000120179752989169	0.00175148529887164	0.0011904946548754	CRK/SOS1/IRS2/PIK3R1/IRS1	5
BIOCARTA_IGF1_PATHWAY	BIOCARTA_IGF1_PATHWAY	4/148	21/11763	0.000121907286558752	0.00175148529887164	0.0011904946548754	IGF1/SOS1/PIK3R1/IRS1	4
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6/148	62/11763	0.000123344035131806	0.00175148529887164	0.0011904946548754	IL1B/MAPK9/IL18/IL6/CCL2/TNF	6
KEGG_GLIOMA	KEGG_GLIOMA	6/148	65/11763	0.000160679924787218	0.00224708440270609	0.00152735622285777	IGF1/PTEN/SOS1/TP53/PIK3R1/CDKN2A	6
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	8/148	124/11763	0.000167142809832197	0.00230257930559878	0.00156507642827949	APOA5/AHSG/IGF1/LGALS1/PAPPA/WFS1/IGF2/IL6	8
PID_TCPTP_PATHWAY	PID_TCPTP_PATHWAY	5/148	42/11763	0.000172261587862508	0.00233216384470618	0.0015851852100643	SOS1/VEGFA/INSR/PIK3R1/INS	5
PID_HIF1_TFPATHWAY	PID_HIF1_TFPATHWAY	6/148	66/11763	0.000174935265486214	0.00233216384470618	0.0015851852100643	NOS2/SERPINE1/VEGFA/LEP/HNF4A/GCK	6
BIOCARTA_HER2_PATHWAY	BIOCARTA_HER2_PATHWAY	4/148	23/11763	0.000176870497431671	0.00233216384470618	0.0015851852100643	ESR1/SOS1/IL6/PIK3R1	4
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	8/148	126/11763	0.000186696694066545	0.00242705702286508	0.00164968465031372	CRK/SH2B1/MAPK9/SOS1/TP53/IRS2/PIK3R1/IRS1	8
REACTOME_SIGNALING_BY_RETINOIC_ACID	REACTOME_SIGNALING_BY_RETINOIC_ACID	5/148	43/11763	0.000192969013646605	0.00247375554994189	0.00168142590838269	FABP5/PDK1/PPARD/RXRA/RXRG	5
BIOCARTA_CTCF_PATHWAY	BIOCARTA_CTCF_PATHWAY	4/148	24/11763	0.000210179145487251	0.00258660468379643	0.00175813011523371	PTEN/TP53/PIK3R1/CDKN2A	4
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	4/148	24/11763	0.000210179145487251	0.00258660468379643	0.00175813011523371	SH2B1/PRLR/IRS2/IRS1	4
REACTOME_TRIGLYCERIDE_CATABOLISM	REACTOME_TRIGLYCERIDE_CATABOLISM	4/148	24/11763	0.000210179145487251	0.00258660468379643	0.00175813011523371	FABP4/FABP1/FABP3/FABP5	4
PID_IL27_PATHWAY	PID_IL27_PATHWAY	4/148	26/11763	0.00028998238583728	0.0035217597648396	0.00239376041494486	IL1B/IL18/IL6/TNF	4
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	4/148	27/11763	0.000337104998887359	0.00404088199964977	0.00274661079066119	SOS1/IRS2/PIK3R1/IRS1	4
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	5/148	49/11763	0.000359812024525424	0.00425777562355086	0.00289403463720854	CRK/NOS3/GRB14/PIK3R1/TNF	5
NABA_SECRETED_FACTORS	NABA_SECRETED_FACTORS	13/148	343/11763	0.00038713417650553	0.00452309930271651	0.00307437667151627	IGF1/IL1B/IL16/BMP7/VEGFA/IL18/IGF2/IL6/IL10/CCL2/LEP/TNF/INS	13
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	6/148	78/11763	0.000437051152849805	0.00504247767600463	0.00342740114603268	SOS1/IRS2/INSR/PIK3R1/IRS1/INS	6
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	7/148	110/11763	0.00046750860264165	0.00529107625439359	0.00359637503292305	ESR1/PTEN/IRS2/INSR/PIK3R1/IRS1/INS	7
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER	5/148	52/11763	0.000475795589506682	0.00529107625439359	0.00359637503292305	PTEN/SOS1/TP53/PIK3R1/TCF7L2	5
KEGG_MTOR_SIGNALING_PATHWAY	KEGG_MTOR_SIGNALING_PATHWAY	5/148	52/11763	0.000475795589506682	0.00529107625439359	0.00359637503292305	IGF1/VEGFA/STK11/PIK3R1/INS	5
BIOCARTA_IL10_PATHWAY	BIOCARTA_IL10_PATHWAY	3/148	13/11763	0.000508871661629876	0.00552574757275736	0.00375588248088429	IL6/IL10/TNF	3
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP	REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP	3/148	13/11763	0.000508871661629876	0.00552574757275736	0.00375588248088429	DPP4/GIP/PCSK1	3
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	11/148	265/11763	0.000516808579760153	0.0055466781292863	0.0037701091008207	IL1B/PRLR/BMP7/VEGFA/IL18/IL6/IL10/CCL2/LEPR/LEP/TNF	11
REACTOME_SUMOYLATION	REACTOME_SUMOYLATION	9/148	187/11763	0.000587944671362997	0.00623761990423042	0.00423974620849784	ESR1/NR3C1/RXRA/TP53/PPARA/PPARGC1A/VDR/CDKN2A/PPARG	9
PID_IL2_1PATHWAY	PID_IL2_1PATHWAY	5/148	55/11763	0.000617909638395463	0.00648102950271605	0.00440519311583368	MAPK9/SOS1/IRS2/PIK3R1/IRS1	5
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	9/148	189/11763	0.000634781235224848	0.00651487091253896	0.00442819531718449	NAMPT/LDLR/LPL/RNLS/PTGS2/ENPP1/NOS3/MTHFR/RBP4	9
REACTOME_IMPORT_OF_PALMITOYL_COA_INTO_THE_MITOCHONDRIAL_MATRIX	REACTOME_IMPORT_OF_PALMITOYL_COA_INTO_THE_MITOCHONDRIAL_MATRIX	3/148	14/11763	0.000641699293932372	0.00651487091253896	0.00442819531718449	PPARD/RXRA/SLC25A20	3
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	11/148	272/11763	0.000642311216729194	0.00651487091253896	0.00442819531718449	ADRB1/NR3C1/PRLR/MTNR1A/GIPR/ADRA2A/MC4R/LEPR/ADRB3/LEP/MTNR1B	11
BIOCARTA_MET_PATHWAY	BIOCARTA_MET_PATHWAY	4/148	33/11763	0.000741314657801977	0.00743731988207853	0.0050551891996565	CRK/PTEN/SOS1/PIK3R1	4
BIOCARTA_ASBCELL_PATHWAY	BIOCARTA_ASBCELL_PATHWAY	3/148	15/11763	0.000794752361096488	0.00764121280512561	0.00519377639488494	HLA-DRB5/IL10/HLA-DRB1	3
BIOCARTA_LONGEVITY_PATHWAY	BIOCARTA_LONGEVITY_PATHWAY	3/148	15/11763	0.000794752361096488	0.00764121280512561	0.00519377639488494	IGF1/CAT/PIK3R1	3
BIOCARTA_PGC1A_PATHWAY	BIOCARTA_PGC1A_PATHWAY	3/148	15/11763	0.000794752361096488	0.00764121280512561	0.00519377639488494	SLC2A4/PPARA/PPARGC1A	3
SA_MMP_CYTOKINE_CONNECTION	SA_MMP_CYTOKINE_CONNECTION	3/148	15/11763	0.000794752361096488	0.00764121280512561	0.00519377639488494	IL1B/ACE/TNF	3
PID_FAK_PATHWAY	PID_FAK_PATHWAY	5/148	59/11763	0.000854174741153294	0.00812786892870608	0.00552455936763281	CRK/MAPK9/SOS1/ARHGEF11/PIK3R1	5
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	3/148	16/11763	0.000969172367608751	0.0091280213806416	0.00620436875504635	PDK1/PPARD/RXRA	3
BIOCARTA_ARF_PATHWAY	BIOCARTA_ARF_PATHWAY	3/148	17/11763	0.00116604898442814	0.0106560714121502	0.00724299317060107	TP53/PIK3R1/CDKN2A	3
BIOCARTA_GCR_PATHWAY	BIOCARTA_GCR_PATHWAY	3/148	17/11763	0.00116604898442814	0.0106560714121502	0.00724299317060107	NR3C1/NOS3/PIK3R1	3
REACTOME_SIGNALING_BY_NTRK3_TRKC	REACTOME_SIGNALING_BY_NTRK3_TRKC	3/148	17/11763	0.00116604898442814	0.0106560714121502	0.00724299317060107	SOS1/PIK3R1/IRS1	3
REACTOME_TRIGLYCERIDE_METABOLISM	REACTOME_TRIGLYCERIDE_METABOLISM	4/148	38/11763	0.00127371147196695	0.0115258400845637	0.00783417995141695	FABP4/FABP1/FABP3/FABP5	4
PID_LYSOPHOSPHOLIPID_PATHWAY	PID_LYSOPHOSPHOLIPID_PATHWAY	5/148	65/11763	0.00132682660658344	0.0118899122123933	0.00808164187556185	CRK/MMP9/ADCY5/IL6/PIK3R1	5
BIOCARTA_PTEN_PATHWAY	BIOCARTA_PTEN_PATHWAY	3/148	18/11763	0.00138642139908999	0.0119595042183183	0.0081289439631838	PTEN/SOS1/PIK3R1	3
PID_ANTHRAX_PATHWAY	PID_ANTHRAX_PATHWAY	3/148	18/11763	0.00138642139908999	0.0119595042183183	0.0081289439631838	IL1B/IL18/TNF	3
