Gene_Set_Name	num_Genes_in_Gene_Set_(K)	Description	num_Genes_in_Overlap_(k)	k/K	p-value	FDR_q-value
WINTER_HYPOXIA_METAGENE	242	Genes_regulated_by_hypoxia,_based_on_literature_searches.	45	0.1860	2.46E-40	9.09E-38
MCLACHLAN_DENTAL_CARIES_UP	265	Genes_up-regulated_in_pulpal_tissue_extracted_from_carious_teeth.	45	0.1698	1.72E-38	5.98E-36
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	Antigen_processing_and_presentation	31	0.3523	1.17E-37	3.82E-35
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	468	Signaling_by_Receptor_Tyrosine_Kinases	54	0.1154	5.5E-37	1.7E-34
KEGG_PATHWAYS_IN_CANCER	325	Pathways_in_cancer	47	0.1446	7.95E-37	2.32E-34
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	140	Degradation_of_the_extracellular_matrix	34	0.2429	6.33E-35	1.76E-32
REACTOME_INTERLEUKIN_10_SIGNALING	46	Interleukin-10_signaling	24	0.5217	1.28E-34	3.38E-32
KEGG_HEMATOPOIETIC_CELL_LINEAGE	87	Hematopoietic_cell_lineage	29	0.3333	1.78E-34	4.5E-32
GAURNIER_PSMD4_TARGETS	73	Inflammatory_cytokines,_chemokines_and_their_cognate_receptors_up-regulated_in_THP-1_cells_(monocyte)_after_treatment_with_PSMD4_[GeneID=5710].	27	0.3699	1.25E-33	3.01E-31
KEGG_ALLOGRAFT_REJECTION	37	Allograft_rejection	22	0.5946	1.34E-33	3.09E-31
KEGG_TYPE_I_DIABETES_MELLITUS	43	Type_I_diabetes_mellitus	23	0.5349	1.44E-33	3.2E-31
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	Jak-STAT_signaling_pathway	34	0.2194	2.72E-33	5.81E-31
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	Genes_defining_epithelial-mesenchymal_transition,_as_in_wound_healing,_fibrosis_and_metastasis.	37	0.1850	3.11E-33	6.39E-31
SMID_BREAST_CANCER_LUMINAL_B_DN	586	Genes_down-regulated_in_the_luminal_B_subtype_of_breast_cancer.	53	0.0904	5.79E-31	1.15E-28
KEGG_LEISHMANIA_INFECTION	72	Leishmania_infection	25	0.3472	2.09E-30	4E-28
REACTOME_COLLAGEN_DEGRADATION	64	Collagen_degradation	24	0.3750	3.36E-30	6.21E-28
PID_INTEGRIN3_PATHWAY	43	Beta3_integrin_cell_surface_interactions	21	0.4884	1.26E-29	2.25E-27
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	Genes_up-regulated_by_IL6_[GeneID=3569]_via_STAT3_[GeneID=6774],_e.g.,_during_acute_phase_response.	26	0.2989	1.34E-29	2.32E-27
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	352	Genes_up-regulated_in_invasive_ductal_carcinoma_(IDC)_relative_to_ductal_carcinoma_in_situ_(DCIS,_non-invasive).	42	0.1193	1.63E-29	2.74E-27
REACTOME_INNATE_IMMUNE_SYSTEM	1104	Innate_Immune_System	68	0.0616	2.07E-29	3.38E-27
REACTOME_HEMOSTASIS	674	Hemostasis	54	0.0801	6.53E-29	1.01E-26
HARRIS_HYPOXIA	81	Genes_known_to_be_induced_by_hypoxia	25	0.3086	6.54E-29	1.01E-26
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2PLUS	132	Response_to_elevated_platelet_cytosolic_Ca2+	29	0.2197	1.39E-28	2.09E-26
KEGG_FOCAL_ADHESION	199	Focal_adhesion	33	0.1658	3.95E-28	5.77E-26
HALLMARK_COMPLEMENT	200	Genes_encoding_components_of_the_complement_system,_which_is_part_of_the_innate_immune_system.	33	0.1650	4.68E-28	6.66E-26
PID_AP1_PATHWAY	70	AP-1_transcription_factor_network	23	0.3286	2.02E-27	2.8E-25
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	427	Genes_up-regulated_in_cultured_stromal_stem_cells_from_adipose_tissue,_compared_to_the_freshly_isolated_cells.	43	0.1007	3.79E-27	5.14E-25
HINATA_NFKB_TARGETS_KERATINOCYTE_UP	84	Genes_up-regulated_in_primary_keratinocytes_by_expression_of_p50_(NFKB1)_and_p65_(RELA)_[GeneID=4790;5970]_components_of_NFKB.	24	0.2857	6.95E-27	9.18E-25
REACTOME_ECM_PROTEOGLYCANS	76	ECM_proteoglycans	23	0.3026	1.8E-26	2.32E-24
DEBOSSCHER_NFKB_TARGETS_REPRESSED_BY_GLUCOCORTICOIDS	23	NF-kB-driven_pro-inflammatory_genes_that_are__negatively_regulated_by_glucocorticoids.	16	0.6957	1.97E-26	2.49E-24
HSIAO_LIVER_SPECIFIC_GENES	248	Liver_selective_genes	34	0.1371	4.16E-26	5.13E-24
BIOCARTA_INFLAM_PATHWAY	29	Cytokines_and_Inflammatory_Response	17	0.5862	4.45E-26	5.37E-24
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	59	Non-integrin_membrane-ECM_interactions	21	0.3559	5.23E-26	6.18E-24
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_DN	131	Angiogenic_markers_down-regulated_in_lymph_endothelial_cells_upon_infection_with_KSHV_(Kaposi's_sarcoma_herpes_virus).	27	0.2061	6.82E-26	7.88E-24
KEGG_AUTOIMMUNE_THYROID_DISEASE	52	Autoimmune_thyroid_disease	20	0.3846	1.22E-25	1.38E-23
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	260	Platelet_activation,_signaling_and_aggregation	34	0.1308	2.05E-25	2.27E-23
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	Natural_killer_cell_mediated_cytotoxicity	27	0.1971	2.45E-25	2.67E-23
REACTOME_DISEASE	1075	Disease	61	0.0567	1.55E-24	1.66E-22
BIOCARTA_TH1TH2_PATHWAY	23	Th1/Th2_Differentiation	15	0.6522	3.47E-24	3.64E-22
BIOCARTA_CYTOKINE_PATHWAY	19	Cytokine_Network	14	0.7368	7.54E-24	7.75E-22
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	85	Integrin_cell_surface_interactions	22	0.2588	1.08E-23	1.09E-21
PID_AVB3_INTEGRIN_PATHWAY	74	Integrins_in_angiogenesis	21	0.2838	1.3E-23	1.29E-21
HALLMARK_APOPTOSIS	161	Genes_mediating_programmed_cell_death_(apoptosis)_by_activation_of_caspases.	27	0.1677	2.3E-23	2.24E-21
PID_INTEGRIN1_PATHWAY	66	Beta1_integrin_cell_surface_interactions	20	0.3030	3.38E-23	3.24E-21
BIOCARTA_ACE2_PATHWAY	13	Angiotensin-converting_enzyme_2_regulates_heart_function	12	0.9231	6.87E-23	6.46E-21
KEGG_ECM_RECEPTOR_INTERACTION	84	ECM-receptor_interaction	21	0.2500	2.53E-22	2.34E-20
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	159	Genes_up-regulated_in_circulating_endothelial_cells_(CEC)_from_cancer_patients_compared_to_those_from_healthy_donors.	26	0.1635	2.97E-22	2.7E-20
SMID_BREAST_CANCER_NORMAL_LIKE_UP	482	Genes_up-regulated_in_the_normal-like_subtype_of_breast_cancer.	40	0.0830	3.49E-22	3.13E-20
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	Genes_regulated_by_NF-kB_in_response_to_TNF_[GeneID=7124].	28	0.1400	5.82E-22	5.13E-20
DELYS_THYROID_CANCER_UP	445	Genes_up-regulated_in_papillary_thyroid_carcinoma_(PTC)_compared_to_normal_tissue.	38	0.0854	1.47E-21	1.28E-19
TARTE_PLASMA_CELL_VS_PLASMABLAST_UP	396	Genes_up-regulated_in_mature_plasma_cells_compared_with_plasmablastic_B_lymphocytes.	36	0.0909	2.19E-21	1.87E-19
BLALOCK_ALZHEIMERS_DISEASE_UP	1668	Genes_up-regulated_in_brain_from_patients_with_Alzheimer's_disease.	71	0.0426	2.92E-21	2.45E-19
THUM_SYSTOLIC_HEART_FAILURE_UP	429	Genes_up-regulated_in_samples_with_systolic_heart_failure_compared_to_normal_hearts.	37	0.0862	3.63E-21	3.01E-19
PID_IL27_PATHWAY	26	IL27-mediated_signaling_events	14	0.5385	5.81E-21	4.75E-19
WONG_ADULT_TISSUE_STEM_MODULE	710	The_'adult_tissue_stem'_module:_genes_coordinately_up-regulated_in_a_compendium_of_adult_tissue_stem_cells.	46	0.0648	6.07E-21	4.88E-19
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	33	Activation_of_Matrix_Metalloproteinases	15	0.4545	6.61E-21	5.24E-19
REACTOME_OTHER_INTERLEUKIN_SIGNALING	288	Other_interleukin_signaling	31	0.1076	1.01E-20	7.88E-19
LINDGREN_BLADDER_CANCER_CLUSTER_2B	388	Genes_specifically_up-regulated_in_Cluster_IIb_of_urothelial_cell_carcinom_(UCC)_tumors.	35	0.0902	1.03E-20	7.94E-19
PID_IL12_2PATHWAY	63	IL12-mediated_signaling_events	18	0.2857	1.75E-20	1.33E-18
GRUETZMANN_PANCREATIC_CANCER_UP	346	Genes_up-regulated_in_pancreatic_ductal_adenocarcinoma_(PDAC)_identified_in_a_meta_analysis_across_four_independent_studies.	33	0.0954	2.43E-20	1.82E-18
KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_UP	118	Genes_up-regulated_in_MEWO_cells_(melanoma)_after_96_h_of_methionine_[PubChem=876]_deprivation.	22	0.1864	2.53E-20	1.88E-18
WALLACE_PROSTATE_CANCER_RACE_UP	301	Genes_up-regulated_in_prostate_cancer_samples_from_African-American_patients_compared_to_those_from_the_European-American_patients.	31	0.1030	3.72E-20	2.72E-18
PID_NFAT_TFPATHWAY	45	Calcineurin-regulated_NFAT-dependent_transcription_in_lymphocytes	16	0.3556	4.12E-20	2.97E-18
GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	66	Genes_up-regulated_in_MMH-RT_cells_(hepatocytes_displaying_an_invasive,_metastatic_phenotype)_during_epithelial_to_mesenchymal_transition_(EMT).	18	0.2727	4.48E-20	3.19E-18
PID_IL23_PATHWAY	37	IL23-mediated_signaling_events	15	0.4054	5.72E-20	4.02E-18
VERHAAK_GLIOBLASTOMA_MESENCHYMAL	216	Genes_correlated_with_mesenchymal_type_of_glioblastoma_multiforme_tumors.	27	0.1250	6.61E-20	4.58E-18
CHEN_METABOLIC_SYNDROM_NETWORK	1213	Genes_forming_the_macrophage-enriched_metabolic_network_(MEMN)_claimed_to_have_a_causal_relationship_with_the_metabolic_syndrom_traits.	58	0.0478	9E-20	6.12E-18
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	443	Genes_up-regulated_in_macrophage_by_live_P.gingivalis.	36	0.0813	9.04E-20	6.12E-18
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	Genes_up-regulated_in_response_to_IFNG_[GeneID=3458].	26	0.1300	1.19E-19	7.95E-18
CROMER_TUMORIGENESIS_UP	58	Tumorigenesis_markers_of_head_and_neck_squamous_cell_carcinoma_(HNSCC):_up-regulated_in_the_'early'_tumors_vs_normal_samples.	17	0.2931	1.24E-19	8.22E-18
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	48	Intestinal_immune_network_for_IgA_production	16	0.3333	1.39E-19	9.09E-18
NUYTTEN_EZH2_TARGETS_UP	1032	Genes_up-regulated_in_PC3_cells_(prostate_cancer)_after_knockdown_of_EZH2_[GeneID=2146]_by_RNAi.	53	0.0514	1.81E-19	1.17E-17
REACTOME_GPCR_LIGAND_BINDING	454	GPCR_ligand_binding	36	0.0793	2.02E-19	1.29E-17
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP	130	Genes_up-regulated_in_MEWO_cells_(melanoma)_after_48h_of_methionine_[PubChem=876]_deprivation.	22	0.1692	2.31E-19	1.45E-17
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	296	MAPK_family_signaling_cascades	30	0.1014	2.4E-19	1.5E-17
DANG_REGULATED_BY_MYC_DN	250	Genes_down-regulated_by_MYC_[GeneID=4609],_according_to_the_MYC_Target_Gene_Database.	28	0.1120	2.67E-19	1.65E-17
LINDSTEDT_DENDRITIC_CELL_MATURATION_A	61	Maturation_of_monocyte-derived_dendritic_cells_(DC)_in_response_to_inflammatory_stimuli:_genes_up-regulated_only_at_8_hr_after_the_stimulation_(cluster_A).	17	0.2787	3.27E-19	1.98E-17
TENEDINI_MEGAKARYOCYTE_MARKERS	61	Genes_essential_to_the_development_of_megakaryocytes,_as_expressed_in_normal_cells_and_essential_thrombocythemic_cells_(ET).	17	0.2787	3.27E-19	1.98E-17
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	209	Up-regulated_genes_in_angioimmunoblastic_lymphoma_(AILT)_compared_to_normal_T_lymphocytes.	26	0.1244	3.66E-19	2.19E-17
BIOCARTA_NKT_PATHWAY	26	Selective_expression_of_chemokine_receptors_during_T-cell_polarization	13	0.5000	5.48E-19	3.24E-17
ZHU_CMV_ALL_DN	119	Down-regulated_at_any_timepoint_following_infection_of_primary_human_foreskin_fibroblasts_with_CMV	21	0.1765	6.16E-19	3.6E-17
PLASARI_TGFB1_TARGETS_10HR_UP	194	Genes_up-regulated_in_MEF_cells_(embryonic_fibroblast)_upon_stimulation_with_TGFB1_[GeneID=7040]_for_10_h.	25	0.1289	7.51E-19	4.34E-17
NABA_ECM_REGULATORS	238	Genes_encoding_enzymes_and_their_regulators_involved_in_the_remodeling_of_the_extracellular_matrix	27	0.1134	8.45E-19	4.83E-17
ZHOU_INFLAMMATORY_RESPONSE_FIMA_UP	509	Genes_up-regulated_in_macrophages_by_P.gingivalis_FimA_pathogen.	37	0.0727	1.13E-18	6.41E-17
HALLMARK_IL2_STAT5_SIGNALING	200	Genes_up-regulated_by_STAT5_in_response_to_IL2_stimulation.	25	0.1250	1.59E-18	8.9E-17
KEGG_ENDOCYTOSIS	181	Endocytosis	24	0.1326	1.93E-18	1.07E-16
