Gene_Set_Name	num_Genes_in_Gene_Set_(K)	Description	num_Genes_in_Overlap_(k)	k/K	p-value	FDR_q-value
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	26	Phosphorylation_of_CD3_and_TCR_zeta_chains	4	0.1538	3.86E-8	7.38E-6
KEGG_LEISHMANIA_INFECTION	72	Leishmania_infection	5	0.0694	4.17E-8	7.61E-6
BIOCARTA_CIRCADIAN_PATHWAY	6	Circadian_Rhythms	3	0.5000	4.26E-8	7.61E-6
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	73	Costimulation_by_the_CD28_family	5	0.0685	4.48E-8	7.61E-6
REACTOME_PD_1_SIGNALING	27	PD-1_signaling	4	0.1481	4.52E-8	7.61E-6
BIOCARTA_INFLAM_PATHWAY	29	Cytokines_and_Inflammatory_Response	4	0.1379	6.11E-8	9.98E-6
KIM_LRRC3B_TARGETS	30	Immune_response_genes_up-regulated_in_zenograft_tumors_formed_by_SNU-601_cells_(gastric_cancer)_made_to_express_LRRC3B_[GeneID=116135].	4	0.1333	7.04E-8	1.09E-5
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	30	SUMOylation_of_intracellular_receptors	4	0.1333	7.04E-8	1.09E-5
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	37	Generation_of_second_messenger_molecules	4	0.1081	1.69E-7	2.53E-5
PID_HNF3B_PATHWAY	45	FOXA2_and_FOXA3_transcription_factor_networks	4	0.0889	3.77E-7	5.51E-5
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	1218	Generic_Transcription_Pathway	11	0.0090	4.1E-7	5.84E-5
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13	Circadian_rhythm_-_mammal	3	0.2308	6.05E-7	8.39E-5
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	53	Nuclear_Receptor_transcription_pathway	4	0.0755	7.36E-7	9.97E-5
HSIAO_LIVER_SPECIFIC_GENES	248	Liver_selective_genes	6	0.0242	9.01E-7	1.19E-4
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	138	Systemic_lupus_erythematosus	5	0.0362	1.08E-6	1.4E-4
PID_CIRCADIAN_PATHWAY	16	Circadian_rhythm_pathway	3	0.1875	1.18E-6	1.49E-4
JOHNSTONE_PARVB_TARGETS_2_UP	144	Genes_up-regulated_upon_overexpression_of_PARVB_[GeneID=29780]_in_MDA-MB-231_cells_(breast_cancer)_cultured_in_3D_collagen_I_and_3D_Matrigel_only.	5	0.0347	1.34E-6	1.65E-4
LI_ADIPOGENESIS_BY_ACTIVATED_PPARG	17	Adipocyte_genes_induced_in_3T3-L1_cells_(adipocyte)_by_constitutively_active_PPARG_[GeneID=5468]_or_its_agonist,_TZD_[PubChem=5437].	3	0.1765	1.43E-6	1.73E-4
REACTOME_GENE_EXPRESSION_TRANSCRIPTION	1486	Gene_expression_(Transcription)	11	0.0074	2.85E-6	3.36E-4
KEGG_HUNTINGTONS_DISEASE	180	Huntington's_disease	5	0.0278	3.99E-6	4.62E-4
KEGG_HEMATOPOIETIC_CELL_LINEAGE	87	Hematopoietic_cell_lineage	4	0.0460	5.41E-6	5.91E-4
MOOTHA_VOXPHOS	87	Genes_involved_in_oxidative_phosphorylation;_based_on_literature_and_sequence_annotation_resources_and_converted_to_Affymetrix_HG-U133A_probe_sets.	4	0.0460	5.41E-6	5.91E-4
PID_RXR_VDR_PATHWAY	26	RXR_and_RAR_heterodimerization_with_other_nuclear_receptor	3	0.1154	5.43E-6	5.91E-4
REACTOME_BMAL1:CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION	27	BMAL1:CLOCK,NPAS2_activates_circadian_gene_expression	3	0.1111	6.1E-6	6.52E-4
BENPORATH_EED_TARGETS	1058	Set_'Eed_targets':_genes_identified_by_ChIP_on_chip_as_targets_of_the_Polycomb_protein_EED_[GeneID=8726]_in_human_embryonic_stem_cells.	9	0.0085	8.63E-6	9.04E-4
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	99	Respiratory_electron_transport	4	0.0404	9.05E-6	9.3E-4
REACTOME_DOWNSTREAM_TCR_SIGNALING	101	Downstream_TCR_signaling	4	0.0396	9.8E-6	9.89E-4
WONG_MITOCHONDRIA_GENE_MODULE	218	Genes_that_comprise_the_mitochondria_gene_module	5	0.0229	1.01E-5	1E-3
REACTOME_SMAD2_SMAD3:SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	32	SMAD2/SMAD3:SMAD4_heterotrimer_regulates_transcription	3	0.0938	1.03E-5	1E-3
WIELAND_UP_BY_HBV_INFECTION	103	Genes_induced_in_the_liver_during_hepatitis_B_(HBV)_viral_clearance_in_chimpanzees.	4	0.0388	1.06E-5	1.01E-3
BENPORATH_ES_WITH_H3K27ME3	1113	Set_'H3K27_bound':_genes_posessing_the_trimethylated_H3K27_(H3K27me3)_mark_in_their_promoters_in_human_embryonic_stem_cells,_as_identified_by_ChIP_on_chip.	9	0.0081	1.29E-5	1.22E-3
PID_FRA_PATHWAY	37	Validated_transcriptional_targets_of_AP1_family_members_Fra1_and_Fra2	3	0.0811	1.61E-5	1.49E-3
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	122	Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.	4	0.0328	2.07E-5	1.85E-3
REACTOME_TCR_SIGNALING	122	TCR_signaling	4	0.0328	2.07E-5	1.85E-3
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	124	MHC_class_II_antigen_presentation	4	0.0323	2.2E-5	1.94E-3
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	260	Platelet_activation,_signaling_and_aggregation	5	0.0192	2.36E-5	2.05E-3
KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_DN	6	Genes_down-regulated_in_hepatocellular_carcinoma_(HCC)_with_early_recurrence.	2	0.3333	2.53E-5	2.16E-3
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3:SMAD4_HETEROTRIMER	44	Transcriptional_activity_of_SMAD2/SMAD3:SMAD4_heterotrimer	3	0.0682	2.72E-5	2.23E-3
KEGG_OXIDATIVE_PHOSPHORYLATION	131	Oxidative_phosphorylation	4	0.0305	2.73E-5	2.23E-3
REACTOME_HEMOSTASIS	674	Hemostasis	7	0.0104	2.73E-5	2.23E-3
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2PLUS	132	Response_to_elevated_platelet_cytosolic_Ca2+	4	0.0303	2.81E-5	2.26E-3
BIOCARTA_KERATINOCYTE_PATHWAY	46	Keratinocyte_Differentiation	3	0.0652	3.11E-5	2.47E-3
INGRAM_SHH_TARGETS	7	Genes_up-regulated_by_in_C3H/10T1/2_cells_(embryonic_pluripotent_cell)_in_response_to_SSH_[GeneID=6469].	2	0.2857	3.54E-5	2.77E-3
BIOCARTA_PPARA_PATHWAY	52	Mechanism_of_Gene_Regulation_by_Peroxisome_Proliferators_via_PPARa(alpha)	3	0.0577	4.51E-5	3.47E-3
REACTOME_METABOLISM_OF_LIPIDS	738	Metabolism_of_lipids	7	0.0095	4.85E-5	3.69E-3
REACTOME_COMPLEX_I_BIOGENESIS	55	Complex_I_biogenesis	3	0.0545	5.34E-5	4E-3
KEGG_ALZHEIMERS_DISEASE	165	Alzheimer's_disease	4	0.0242	6.72E-5	4.97E-3
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	173	The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport	4	0.0231	8.07E-5	5.89E-3
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	811	Adaptive_Immune_System	7	0.0086	8.76E-5	6.31E-3
PID_HIF1_TFPATHWAY	66	HIF-1-alpha_transcription_factor_network	3	0.0455	9.21E-5	6.49E-3
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	11	Endosomal/Vacuolar_pathway	2	0.1818	9.23E-5	6.49E-3
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	Complement_and_coagulation_cascades	3	0.0435	1.05E-4	7.23E-3
REACTOME_SUMOYLATION	187	SUMOylation	4	0.0214	1.09E-4	7.23E-3
PID_AP1_PATHWAY	70	AP-1_transcription_factor_network	3	0.0429	1.1E-4	7.23E-3
BIOCARTA_FIBRINOLYSIS_PATHWAY	12	Fibrinolysis_Pathway	2	0.1667	1.11E-4	7.23E-3
GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_DN	12	Genes_down-regulated_in_quescent_CD34+_[GeneID=8842]_cells_isolated_from_peripheral_blood_of_CML_(chronic_myeloblastic_leukemia)_patients_compared_to_the_dividing_cells_from_normal_donors.	2	0.1667	1.11E-4	7.23E-3
TURJANSKI_MAPK1_AND_MAPK2_TARGETS	12	Examples_of_transcription_factors_whose_activities_are_regulated_by_MAPK1_and_MAPK3_[GeneID=5594;5595]_phosphorylation.	2	0.1667	1.11E-4	7.23E-3
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	189	Metabolism_of_vitamins_and_cofactors	4	0.0212	1.14E-4	7.31E-3
GU_PDEF_TARGETS_UP	71	Integrin,_VEGF,_Wnt_and_TGFbeta_signaling_pathway_genes_up-regulated_in_PC-3_cells_(prostate_cancer)_after_knockdown_of_PDEF_[GeneID=25803]_by_RNAi.	3	0.0423	1.15E-4	7.31E-3
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	73	Signaling_by_TGF-beta_Receptor_Complex	3	0.0411	1.24E-4	7.85E-3
GERHOLD_RESPONSE_TO_TZD_DN	13	Genes_down-regulated_in_3T3-L1_cells_(fibroblast)_induced_to_differentiate_to_mature_adipocytes_and_then_treated_with_a_TZD_derivative_AD-5075_[PubChem=128440],_a_PPARG_[GeneID=5468]_activator.	2	0.1538	1.31E-4	8.06E-3
GOERING_BLOOD_HDL_CHOLESTEROL_QTL_CIS	13	Top_scoring_cis-regulated_QTL_(quantitative_trait_loci)_influencing_blood_levels_of_high-density_lipoprotein_(HDL)_cholesterol.	2	0.1538	1.31E-4	8.06E-3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	Genes_encoding_proteins_involved_in_oxidative_phosphorylation.	4	0.0200	1.41E-4	8.51E-3
HALLMARK_XENOBIOTIC_METABOLISM	200	Genes_encoding_proteins_involved_in_processing_of_drugs_and_other_xenobiotics.	4	0.0200	1.41E-4	8.51E-3
LEE_AGING_CEREBELLUM_UP	78	Upregulated_in_the_cerebellum_of_aged_adult_mice_(30-month)_vs_young_adult_(5-month)	3	0.0385	1.51E-4	8.94E-3
REACTOME_REGULATION_OF_INSULIN_SECRETION	78	Regulation_of_insulin_secretion	3	0.0385	1.51E-4	8.94E-3
HSIAO_HOUSEKEEPING_GENES	398	Housekeeping_genes_identified_as_expressed_across_19_normal_tissues.	5	0.0126	1.76E-4	1.01E-2
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	398	Genes_regulated_in_MCF7_cells_(breast_cancer)_by_expression_of_the_truncated_(611-CTF)_form_of_ERBB2_[GeneID=2064]_at_60_h_time_point.	5	0.0126	1.76E-4	1.01E-2
PID_SMAD2_3NUCLEAR_PATHWAY	82	Regulation_of_nuclear_SMAD2/3_signaling	3	0.0366	1.76E-4	1.01E-2
HUMMERICH_SKIN_CANCER_PROGRESSION_UP	83	Selected_genes_up-regulated_during_progression_through_benign_to_malignant_skin_tumors_formed_by_treatment_with_DMBA_and_TPA_[PubChem=6001;4792]_chemicals_in_the_two_stage_skin_carcinogenesis_model.	3	0.0361	1.82E-4	1.01E-2
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP	83	Top_100_probe_sets_contrubuting_to_the_positive_side_of_the_1st_principal_component;_predominantly_associated_with_spindle_cell_and_pleomorphic_sarcoma_samples.	3	0.0361	1.82E-4	1.01E-2
SANA_TNF_SIGNALING_UP	83	Genes_up-regulated_in_five_primary_endothelial_cell_types_(lung,_aortic,_iliac,_dermal,_and_colon)_by_TNF_[GeneID=7124].	3	0.0361	1.82E-4	1.01E-2
